0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:20:21 +0530] "POST /middleware_Collab/register HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:20:29 +0530] "POST /middleware_Collab/register HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:20:41 +0530] "POST /middleware_Collab/register HTTP/1.1" 500 235
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:24:15 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:24:20 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:24:20 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:24:20 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:24:20 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:24:20 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:38:14 +0530] "PUT /middleware_Collab/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [15/Oct/2018:12:39:08 +0530] "PUT /middleware_Collab/logout HTTP/1.1" 200 -
